Report Date,Property Name,Unit Number,Size,Baths,Floor Plan Name,Square Feet,Unit Status,Total Market Rent,Lease Type Current Lease,Lease Term Current Lease,Lease End Date Current Lease,Notice On Date Current Lease,Notice For Date Current Lease,Lease Rent Current Lease,MTMFees Current Lease,Length Of Stay,Status,Renewal Status,Lease Type Future Lease,Lease Start Date Future Lease,Lease End Date Future Lease,Move In Date Future Lease,Lease Rent Future Lease,Make Ready Date Future Lease
14/09/2020,My Property,1501,2,2,B1,950,Normal,980,New,12,10/03/2021,,,930,0,6,OC,Undecided,,,,,0,
14/09/2020,My Property,1502,2,2,B1,950,Normal,980,New,12,30/04/2021,,,895,0,4,OC,Undecided,,,,,0,
14/09/2020,My Property,1503,2,2,B1,950,Normal,950,New,13,31/07/2020,,,950,100,14,OC,Undecided,,,,,0,
14/09/2020,My Property,1504,2,2,B1,950,Normal,950,New,13,31/10/2020,,,950,0,11,OC,Undecided,,,,,0,
14/09/2020,My Property,1601,2,2,B1,950,Normal,980,New,12,25/01/2021,,,950,0,8,OC,Undecided,,,,,0,
14/09/2020,My Property,1602,2,2,B1,950,Normal,980,New,12,25/07/2021,26/08/2020,01/10/2020,950,0,2,NL,NTV,Transfer,30/11/2020,30/11/2021,30/11/2020,980,
14/09/2020,My Property,1603,2,2,B1,950,Normal,950,New,13,30/06/2021,,,950,0,3,OC,Undecided,,,,,0,
14/09/2020,My Property,1604,2,2,B1,950,Normal,950,Transfer,13,28/02/2021,,,895,0,7,OC,Undecided,,,,,0,
14/09/2020,My Property,17101,1,1,A1,828,Normal,905,New,13,30/06/2021,,,905,0,3,OC,Undecided,,,,,0,
14/09/2020,My Property,17102,1,1,A1,828,Normal,905,Renewal,12,31/08/2021,,,915,0,13,OC,Undecided,,,,,0,
14/09/2020,My Property,17103,0,1,E1,670,Normal,815,,,,,,0,0,,VL,,New,21/09/2020,30/09/2021,21/09/2020,800,
14/09/2020,My Property,17104,0,1,E1,670,Normal,815,New,13,28/02/2021,,,775,0,7,OC,Undecided,,,,,0,
14/09/2020,My Property,17105,0,1,E1,670,Normal,815,New,14,30/09/2020,30/07/2020,30/09/2020,750,0,13,NA,NTV,,,,,0,
14/09/2020,My Property,17106,0,1,E1,670,Normal,815,New,13,30/04/2021,,,775,0,5,OC,Undecided,,,,,0,
14/09/2020,My Property,17107,1,1,A1,828,Normal,905,Renewal,12,31/08/2021,,,905,0,13,OC,Undecided,,,,,0,
14/09/2020,My Property,17108,1,1,A1,828,Normal,905,New,13,31/03/2021,,,895,0,6,OC,Undecided,,,,,0,
14/09/2020,My Property,17201,1,1,A1,828,Normal,895,,,,,,0,0,,VA,,,,,,0,
14/09/2020,My Property,17202,1,1,A1,828,Normal,895,Renewal,12,31/08/2021,,,895,0,13,OC,Undecided,,,,,0,
14/09/2020,My Property,17203,0,1,E1,670,Normal,805,New,14,30/09/2020,,,750,0,13,OC,Renewed,Renewal,01/10/2020,30/09/2021,15/08/2016,775,
14/09/2020,My Property,17204,0,1,E1,670,Normal,805,New,13,28/02/2021,,,750,0,7,OC,Undecided,,,,,0,
